City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,chifeng,0,CN,1518557252,70,42.27,118.96,9.26,7.96
1,panjakent,75,UZ,1518553800,66,39.5,67.61,48.2,2.24
2,paredon,64,BO,1518557254,74,-18.93,-65.16,57.73,2.93
3,yellowknife,75,CA,1518555600,63,62.45,-114.38,-7.61,11.41
4,vallenar,20,CL,1518557254,75,-28.58,-70.76,72.71,2.93
5,san jeronimo,64,PE,1518557255,76,-13.65,-73.37,53.81,2.48
6,vaini,0,IN,1518557255,64,15.34,74.49,63.26,4.83
7,ushuaia,75,AR,1518555600,87,-54.81,-68.31,55.4,10.29
8,hilo,1,US,1518555360,58,19.71,-155.08,82.4,12.75
9,arraial do cabo,40,BR,1518555600,88,-22.97,-42.02,80.6,6.93
10,kapaa,75,US,1518555360,83,22.08,-159.32,75.2,9.17
11,portland,20,US,1518555360,42,45.52,-122.67,46.4,3.27
12,rikitea,76,PF,1518557257,97,-23.12,-134.97,81.04,16.58
13,hay river,75,CA,1518555600,77,60.82,-115.79,-0.41,6.93
14,ponta do sol,68,BR,1518557258,72,-20.63,-46.0,78.52,1.25
15,trincomalee,80,LK,1518557258,89,8.58,81.23,74.74,4.5
16,cabo san lucas,90,MX,1518554880,41,22.89,-109.91,82.4,4.7
17,aswan,0,EG,1518552000,29,24.09,32.9,66.2,10.29
18,mar del plata,0,AR,1518557259,21,-46.43,-67.52,84.64,21.94
19,new norfolk,75,AU,1518553800,59,-42.78,147.06,62.6,9.17
20,saint-augustin,0,FR,1518555600,93,44.83,-0.61,46.4,5.82
21,balikpapan,48,ID,1518557102,100,-1.24,116.86,79.15,1.81
22,flinders,0,AU,1518552000,100,-34.58,150.85,64.4,4.72
23,anloga,20,GH,1518555600,83,5.79,0.9,84.2,13.87
24,bambous virieux,40,MU,1518552000,83,-20.34,57.76,80.6,5.84
25,albany,75,US,1518555240,33,42.65,-73.75,30.2,3.15
26,papara,40,BR,1518555600,78,-3.98,-38.73,80.6,5.82
27,jamestown,0,AU,1518557262,73,-33.21,138.6,60.52,9.75
28,loveland,1,US,1518555360,34,40.4,-105.08,60.8,20.8
29,straumen,0,NO,1518555000,62,63.87,11.3,26.6,6.93
30,port alfred,92,ZA,1518557263,95,-33.59,26.89,71.32,16.35
31,port hardy,90,CA,1518555600,86,50.7,-127.42,41.0,8.05
32,shimoda,0,JP,1518557263,100,34.7,138.93,44.99,13.89
33,anqiu,0,CN,1518557264,37,36.48,119.21,39.01,11.54
34,dunedin,92,NZ,1518557102,100,-45.87,170.5,57.28,1.59
35,saquena,36,PE,1518557264,81,-4.67,-73.52,82.61,8.52
36,barrow,0,AR,1518557264,22,-38.31,-60.23,84.73,7.96
37,qaanaaq,12,GL,1518557265,85,77.48,-69.36,-20.26,4.16
38,talnakh,36,RU,1518557265,73,69.49,88.39,-6.31,5.5
39,lavrentiya,92,RU,1518557265,98,65.58,-170.99,29.92,27.76
40,kargasok,0,RU,1518557266,74,59.06,80.87,-10.81,2.82
41,alice,90,US,1518555360,87,27.75,-98.07,55.4,8.05
42,gouyave,20,GD,1518552000,69,12.16,-61.73,82.4,17.22
43,buraydah,40,SA,1518555600,49,26.33,43.97,69.8,21.92
44,cape town,40,ZA,1518555600,88,-33.93,18.42,69.8,13.87
45,noumea,90,NC,1518555600,100,-22.28,166.46,71.6,3.36
46,clyde river,1,CA,1518552000,66,70.47,-68.59,-31.01,8.05
47,saint-philippe,1,CA,1518555600,57,45.36,-73.48,24.8,8.05
48,deputatskiy,0,RU,1518557268,59,69.3,139.9,-34.39,2.59
49,busselton,0,AU,1518557268,100,-33.64,115.35,61.42,12.44
50,bredasdorp,48,ZA,1518557268,91,-34.53,20.04,70.24,20.49
51,soyo,24,AO,1518557269,81,-6.13,12.37,80.86,5.39
52,tuktoyaktuk,20,CA,1518555600,67,69.44,-133.03,-25.61,8.05
53,sawakin,0,SD,1518552000,83,19.1,37.33,77.0,16.11
54,thompson,90,CA,1518555600,72,55.74,-97.86,14.0,6.93
55,kodiak,1,US,1518555180,37,39.95,-94.76,50.0,17.22
56,bargarh,56,IN,1518557271,95,25.14,81.45,60.61,6.4
57,hasaki,20,JP,1518553800,79,35.73,140.83,24.8,1.12
58,punta arenas,90,CL,1518555600,87,-53.16,-70.91,53.6,10.29
59,cayenne,0,GF,1518555600,83,4.94,-52.33,78.8,8.05
60,nikolskoye,75,RU,1518555600,73,59.7,30.79,23.0,6.71
61,north vanlaiphai,36,IN,1518557273,88,23.13,93.07,52.15,1.7
62,tiksi,44,RU,1518557273,72,71.64,128.87,-10.77,3.38
63,bowen,0,AU,1518552000,94,-20.01,148.25,75.2,5.82
64,miki,0,JP,1518553800,80,34.85,135.08,35.6,5.82
65,marshall,75,US,1518556500,65,39.39,-87.69,44.6,8.05
66,san patricio,0,PY,1518557275,41,-26.98,-56.83,84.1,5.39
67,udachnyy,48,RU,1518557275,72,66.42,112.4,-6.99,5.39
68,juneau,90,US,1518555720,100,58.3,-134.42,37.4,3.36
69,santa rosa,0,AR,1518557278,29,-36.62,-64.29,87.79,12.1
70,turayf,0,SA,1518555600,93,31.68,38.65,42.8,4.7
71,saint-pierre,0,FR,1518555600,74,48.95,4.24,35.6,6.93
72,hermanus,24,ZA,1518557279,82,-34.42,19.24,70.24,3.71
73,puerto ayora,40,EC,1518555600,55,-0.74,-90.35,87.8,18.34
74,mizan teferi,68,ET,1518557280,59,6.99,35.58,69.74,1.36
75,leningradskiy,56,RU,1518557280,84,69.38,178.42,9.22,16.69
76,strezhevoy,0,RU,1518555600,83,60.73,77.6,-9.41,4.47
77,westport,75,IE,1518553800,86,53.8,-9.52,33.8,13.87
78,turtas,48,RU,1518557281,83,58.94,69.13,1.21,3.49
79,faanui,100,PF,1518557281,100,-16.48,-151.75,79.73,31.45
80,ribeira grande,40,PT,1518555600,88,38.52,-28.7,62.6,16.11
81,elblag,90,PL,1518555600,80,54.15,19.41,30.2,2.24
82,bluff,0,AU,1518557283,91,-23.58,149.07,76.49,9.98
83,hamilton,75,BM,1518555300,83,32.3,-64.78,71.6,6.93
84,huron,1,US,1518555300,68,44.36,-98.21,28.4,12.75
85,basco,1,US,1518556500,64,40.33,-91.2,39.2,6.93
86,canora,90,CA,1518555600,68,51.64,-102.43,24.8,16.11
87,pevek,32,RU,1518557284,100,69.7,170.27,-1.27,2.59
88,hobart,75,AU,1518553800,59,-42.88,147.33,62.6,9.17
89,aripuana,76,BR,1518557285,95,-9.17,-60.63,77.89,2.71
90,chokurdakh,80,RU,1518557285,71,70.62,147.9,-5.86,8.3
91,whitehorse,75,CA,1518555600,86,60.72,-135.06,28.4,11.41
92,jalu,8,LY,1518557285,51,29.03,21.55,47.83,2.93
93,east bethel,1,US,1518556500,58,45.32,-93.2,30.2,12.75
94,ahipara,48,NZ,1518557286,97,-35.17,173.16,71.77,4.5
95,albina,92,GF,1518557286,78,5.5,-54.06,77.71,3.38
96,airai,76,TL,1518557287,95,-8.93,125.41,69.11,1.14
97,mahebourg,40,MU,1518552000,83,-20.41,57.7,80.6,5.84
98,hokitika,88,NZ,1518557287,100,-42.72,170.96,62.54,3.27
99,alta gracia,0,AR,1518555600,39,-31.66,-64.43,80.6,13.87
100,bilibino,20,RU,1518557288,56,68.06,166.44,-12.79,2.93
101,hithadhoo,88,MV,1518557288,100,-0.6,73.08,83.02,7.52
102,austin,90,US,1518555360,87,30.27,-97.74,48.2,9.42
103,virginia beach,90,US,1518555540,86,36.85,-75.98,42.8,12.75
104,sebastian,1,US,1518555360,69,27.82,-80.47,78.8,9.17
105,lyaskelya,92,RU,1518557289,92,61.77,31.02,25.24,8.41
106,maraa,76,BR,1518557289,90,-1.83,-65.37,79.6,2.37
107,butaritari,80,KI,1518557290,96,3.07,172.79,83.56,24.63
108,tasiilaq,88,GL,1518555000,92,65.61,-37.64,23.0,9.17
109,blythe,40,US,1518555120,39,33.61,-114.59,66.2,5.17
110,haines junction,64,CA,1518557291,86,60.75,-137.51,15.07,2.59
111,geraldton,90,CA,1518555600,67,49.72,-86.95,21.2,20.8
112,dikson,76,RU,1518557292,89,73.51,80.55,18.58,6.62
113,noyabrsk,48,RU,1518557292,57,63.2,75.45,-11.4,3.94
114,khatanga,48,RU,1518557292,81,71.98,102.47,-4.42,9.42
115,te anau,32,NZ,1518557293,90,-45.41,167.72,51.16,3.71
116,tuy hoa,48,VN,1518557293,93,13.08,109.3,67.49,8.75
117,san quintin,44,PH,1518557293,85,17.54,120.52,62.99,3.04
118,mocuba,80,MZ,1518557294,98,-16.84,36.99,73.39,2.71
119,ilulissat,40,GL,1518555000,52,69.22,-51.1,-11.21,10.29
120,kirakira,0,SB,1518557295,100,-10.46,161.92,82.66,7.74
121,tula,88,RU,1518557295,88,54.19,37.62,13.27,10.09
122,grindavik,20,IS,1518555600,92,63.84,-22.43,26.6,9.17
123,lompoc,90,US,1518555360,48,34.64,-120.46,60.8,12.75
124,karratha,8,AU,1518557296,74,-20.74,116.85,78.52,5.61
125,vila velha,40,BR,1518555600,78,-3.71,-38.6,80.6,5.82
126,alofi,32,NU,1518557296,100,-19.06,-169.92,81.89,10.65
127,dolores,0,AR,1518557297,32,-36.31,-57.68,80.63,6.17
128,alice springs,68,AU,1518555600,61,-23.7,133.88,78.8,4.7
129,georgetown,75,GY,1518555600,78,6.8,-58.16,78.8,9.17
130,nanortalik,0,GL,1518557298,100,60.14,-45.24,18.31,30.22
131,saldanha,92,PT,1518557299,98,41.42,-6.55,45.26,10.76
132,miles city,1,US,1518555180,72,46.41,-105.84,15.8,9.17
133,lebu,0,ET,1518557299,55,8.96,38.73,56.92,8.75
134,yarkovo,0,RU,1518555600,84,54.81,82.6,-0.41,8.95
135,mount isa,0,AU,1518553800,58,-20.73,139.49,82.4,5.82
136,atuona,0,PF,1518557300,100,-9.8,-139.03,80.86,16.8
137,mareeba,75,AU,1518555600,94,-16.99,145.42,75.2,4.7
138,baghdad,40,IQ,1518555600,87,33.3,44.38,55.4,18.34
139,provideniya,90,RU,1518555600,93,64.42,-173.23,32.0,22.37
140,dukat,92,RS,1518557301,97,42.44,22.31,35.41,5.17
141,cidreira,0,BR,1518557302,68,-30.17,-50.22,72.71,9.64
142,comodoro rivadavia,0,AR,1518555600,18,-45.87,-67.48,89.6,19.46
143,mashhad,90,IR,1518555600,66,36.3,59.61,48.2,6.93
144,keelung,20,TW,1518553800,93,25.13,121.74,55.4,6.93
145,longyearbyen,20,NO,1518555000,73,78.22,15.63,19.4,17.22
146,bathsheba,75,BB,1518555600,88,13.22,-59.52,73.4,28.86
147,muros,90,ES,1518555600,93,42.77,-9.06,50.0,8.05
148,kurunegala,76,LK,1518557304,92,7.49,80.36,61.51,2.59
149,lensk,56,RU,1518557305,71,60.71,114.91,-2.62,5.73
150,kazerun,92,IR,1518557305,43,29.62,51.65,62.32,5.28
151,codrington,0,AU,1518557305,92,-28.95,153.24,75.23,4.16
152,castro,0,CL,1518557306,59,-42.48,-73.76,70.06,2.71
153,kholodnyy,64,RU,1518557306,74,62.72,147.95,-5.73,7.63
154,mataura,12,NZ,1518557306,82,-46.19,168.86,59.8,4.05
155,bako,0,NG,1518557306,63,9.68,6.4,82.57,8.41
156,navahrudak,92,BY,1518557307,91,53.59,25.82,23.35,7.18
157,yulara,90,AU,1518555600,94,-25.24,130.99,73.4,8.05
158,havelock,90,US,1518556560,93,34.88,-76.9,46.4,12.75
159,ojinaga,48,US,1518557307,19,29.56,-104.41,69.25,4.16
160,la venta del astillero,40,MX,1518554820,31,20.73,-103.55,77.0,5.82
161,cherskiy,20,RU,1518557308,70,68.75,161.3,-10.27,5.28
162,north bend,1,US,1518555360,53,43.41,-124.22,51.8,5.82
163,pacific grove,1,US,1518555300,39,36.62,-121.92,62.6,8.05
164,nuuk,75,GL,1518555000,100,64.17,-51.74,-4.01,21.92
165,saskylakh,68,RU,1518557309,70,71.97,114.09,-9.91,7.96
166,lasa,40,CY,1518555600,62,34.92,32.53,59.0,14.99
167,kaitangata,8,NZ,1518557310,84,-46.28,169.85,59.93,7.18
168,iqaluit,90,CA,1518555600,60,63.75,-68.52,-25.61,8.05
169,makakilo city,75,US,1518556200,100,21.35,-158.09,77.0,4.7
170,lagoa,0,PT,1518555600,71,37.14,-8.45,50.0,8.05
171,lazaro cardenas,90,MX,1518554520,19,28.39,-105.62,66.2,11.41
172,kimbe,68,PG,1518557312,100,-5.56,150.15,79.24,7.63
173,touros,24,BR,1518557312,88,-5.2,-35.46,80.18,5.73
174,quatre cocos,40,MU,1518552000,83,-20.21,57.76,80.6,5.84
175,manono,0,CD,1518557313,54,-7.3,27.4,77.17,8.86
176,schweinfurt,1,DE,1518555360,79,50.05,10.23,26.6,4.7
177,atasu,92,KZ,1518557313,86,48.68,71.64,20.29,9.19
178,rio gallegos,75,AR,1518555600,62,-51.62,-69.22,75.2,26.4
179,sao joao da barra,40,BR,1518555600,69,-21.64,-41.05,82.4,14.99
180,kavieng,44,PG,1518557315,100,-2.57,150.8,82.57,9.75
181,oktyabrskiy,76,RU,1518555600,84,55.61,37.97,15.8,6.71
182,klaksvik,0,FO,1518555000,92,62.23,-6.59,30.2,3.36
183,tamandare,40,BR,1518552000,94,-8.28,-70.75,77.0,5.82
184,sao felix do xingu,64,BR,1518557316,90,-6.64,-51.99,77.44,2.37
185,ambon,0,FR,1518555600,80,47.55,-2.56,35.6,5.82
186,upernavik,0,GL,1518557317,100,72.79,-56.15,-4.69,8.75
187,mackay,75,CA,1518555600,80,53.65,-115.58,41.0,4.7
188,simpang,75,MY,1518552000,88,4.82,100.71,78.8,3.36
189,devils lake,1,US,1518556500,73,48.11,-98.87,19.4,19.46
190,zhigansk,56,RU,1518557318,79,66.77,123.37,-12.57,5.73
191,chapais,75,CA,1518555600,60,49.78,-74.86,10.4,19.46
192,havoysund,20,NO,1518555000,73,71.0,24.66,26.6,27.51
193,laguna,90,MX,1518554700,33,27.52,-110.01,75.2,5.82
194,saint-francois,90,FR,1518555600,86,46.42,3.91,33.8,3.36
195,acheng,20,CN,1518552000,76,45.55,126.95,-9.41,4.47
196,salalah,0,OM,1518555000,64,17.01,54.1,69.8,4.7
197,port elizabeth,1,US,1518555360,51,39.31,-74.98,37.4,11.41
198,digha,24,IN,1518557321,100,21.62,87.51,68.84,11.88
199,rio grande,40,BR,1518554700,53,-32.03,-52.1,77.0,9.17
200,tondano,40,ID,1518555600,94,1.3,124.91,77.0,1.59
201,port lincoln,0,AU,1518557322,91,-34.72,135.86,64.93,17.25
202,the valley,20,AI,1518555600,65,18.22,-63.06,80.6,19.46
203,beringovskiy,64,RU,1518557323,86,63.05,179.32,29.51,13.33
204,east london,92,ZA,1518557324,100,-33.02,27.91,72.53,16.58
205,dudinka,76,RU,1518557324,72,69.41,86.18,-1.99,10.42
206,san mateo del mar,0,MX,1518557324,83,16.21,-94.98,80.95,31.56
207,kualakapuas,90,ID,1518553800,100,-3.01,114.39,78.8,4.7
208,kisangani,24,CD,1518557325,96,0.52,25.21,75.01,2.93
209,nchelenge,0,ZM,1518557325,93,-9.35,28.74,65.38,2.93
210,sarangani,88,PH,1518557325,100,5.4,125.46,78.61,5.73
211,mawlaik,32,MM,1518557326,84,23.63,94.42,62.59,2.15
212,segou,0,SN,1518557326,27,12.41,-12.29,77.39,8.41
213,gallup,1,US,1518555180,37,35.53,-108.74,51.8,9.17
214,biltine,20,TD,1518557326,26,14.53,20.93,77.26,9.75
215,karak,40,JO,1518555600,93,31.18,35.7,46.4,4.7
216,moro,8,PK,1518555600,77,26.66,68.0,59.0,4.05
217,coihaique,0,CL,1518555600,19,-45.58,-72.07,75.2,8.05
218,snasa,0,NO,1518553200,68,64.25,12.38,26.6,4.7
219,meadow lake,90,CA,1518555600,86,54.13,-108.44,32.0,12.75
220,tezu,92,IN,1518557329,56,27.93,96.16,52.19,1.7
221,rosamorada,56,MX,1518557329,29,22.12,-105.21,86.53,2.71
222,fuerte olimpo,0,BR,1518557329,68,-21.04,-57.87,88.01,8.75
223,neuquen,0,AR,1518552000,16,-38.95,-68.06,93.2,11.41
224,caravelas,44,BR,1518557330,100,-17.73,-39.27,80.68,13.67
225,chuy,0,UY,1518557330,68,-33.69,-53.46,71.54,8.75
226,trairi,12,BR,1518557163,100,-3.28,-39.27,79.28,5.73
227,norman wells,90,CA,1518555600,77,65.28,-126.83,1.4,4.7
228,kiama,0,AU,1518552000,100,-34.67,150.86,64.4,4.72
229,ayan,32,TR,1518557332,89,40.67,33.6,26.54,1.59
230,nome,90,US,1518555600,93,30.04,-94.42,51.8,3.36
231,berezovka,0,RU,1518557333,56,57.6,57.31,-5.41,2.71
232,yeppoon,76,AU,1518553800,78,-23.13,150.74,80.6,1.12
233,tura,80,IN,1518557333,88,25.52,90.21,57.28,4.61
234,okhotsk,68,RU,1518557333,100,59.36,143.24,1.61,7.63
235,severo-yeniseyskiy,48,RU,1518557334,71,60.37,93.04,-2.49,4.61
236,hofn,68,IS,1518557334,100,64.25,-15.21,35.09,10.54
237,alberton,0,ZA,1518555600,68,-26.25,28.13,71.6,9.98
238,trenggalek,76,ID,1518557334,96,-8.05,111.71,68.8,1.92
239,abancay,68,PE,1518557335,72,-13.64,-72.88,53.95,2.15
240,bethel,90,US,1518555900,95,60.79,-161.76,33.8,32.21
241,garden city,1,US,1518555360,50,40.73,-73.63,37.4,11.41
242,samarai,12,PG,1518557336,100,-10.62,150.67,80.09,9.64
243,calvinia,8,ZA,1518557337,73,-31.47,19.78,67.99,4.16
244,crestview,75,US,1518555360,69,30.76,-86.57,77.0,4.7
245,port-cartier,20,CA,1518555600,38,50.03,-66.88,5.0,6.93
246,japura,68,ID,1518557337,89,-0.42,102.29,73.3,1.7
247,batagay,0,RU,1518557338,0,67.65,134.64,-41.77,2.04
248,avarua,40,CK,1518555600,61,-21.21,-159.78,78.8,12.75
249,sorland,75,NO,1518555000,64,67.67,12.69,35.6,10.29
250,grand bank,75,CA,1518555600,57,47.1,-55.77,17.6,26.4
251,lata,0,IN,1518557339,74,30.78,78.62,28.39,2.71
252,tilichiki,44,RU,1518557340,88,60.47,166.1,24.97,7.4
253,xiaoweizhai,76,CN,1518557340,87,26.23,107.51,49.0,9.19
254,dinghai,0,CN,1518552000,71,26.28,119.79,50.0,8.95
255,rawson,8,AR,1518557341,24,-43.3,-65.11,90.13,18.03
256,makat,12,KZ,1518557341,35,47.65,53.35,-9.64,3.04
257,mafra,20,PT,1518555600,81,38.94,-9.33,51.8,4.7
258,bom jardim,40,BR,1518555600,78,-7.8,-35.59,77.0,13.87
259,omsukchan,80,RU,1518557343,76,62.53,155.8,0.22,9.64
260,santo andre,92,BR,1518557343,100,-0.91,-46.86,72.58,3.04
261,redmond,40,US,1518555480,45,47.67,-122.12,48.2,3.36
262,suntar,64,RU,1518557344,76,62.16,117.65,-7.53,4.72
263,bondo,56,CD,1518557157,94,3.81,23.69,75.41,2.15
264,beibei,0,CN,1518552000,81,29.83,106.43,46.4,4.47
265,clinton,1,US,1518556500,68,41.84,-90.19,35.6,9.17
266,matagami,0,NG,1518557346,37,9.67,8.4,72.76,5.61
267,victoria,75,BN,1518553800,94,5.28,115.24,77.0,1.03
268,zhenlai,0,CN,1518557347,69,45.84,123.2,1.57,8.97
269,tuatapere,76,NZ,1518557348,100,-46.13,167.69,55.79,6.73
270,kidal,0,ML,1518557348,38,18.44,1.41,56.51,7.29
271,tortona,75,IT,1518555000,70,44.9,8.86,42.8,10.29
272,hualmay,12,PE,1518557349,66,-11.1,-77.61,77.35,4.61
273,pyu,0,MM,1518557349,88,18.48,96.43,66.59,2.71
